date;qobs;p;epot;temp;ss;u;l;saturation;qs;ep;qif;pn;qof;ea;g;dl;qr1;qr2;bf;qsim
22-03-1971;17,15;0;0,787096774;3,2;0;2,210311942;97,9088984;0,979088984;0;0,787096774;0,150828581;0;0;0;0;0;0,470017256;0,470017256;0,868452055;16,34357781
23-03-1971;16,05;0,06;0,787096774;1,9;0;1,377321557;97,9088984;0,979088984;0;0,787096774;0,10589361;0;0;0;0;0;0,326745765;0,326745765;0,866716886;14,57295252
24-03-1971;15,95;5,07;0,787096774;3,2;0;5;97,92648987;0,979088984;0;0,787096774;0,065985959;0,594238825;0,173611846;0;0,403035504;0,017591475;0,292455715;0,292455715;0,865709924;14,14195311
25-03-1971;17,5;6,17;0,787096774;5,2;0;5;98,0774531;0,979264899;0;0,787096774;0,239632449;5,143270777;1,502988893;0;3,489318657;0,150963227;0,863051427;0,863051427;0,870254731;21,16479164
26-03-1971;18,1;0,6;0,787096774;5,1;0;4,57251596;98,0774531;0,980774531;0;0,787096774;0,240387266;0;0;0;0;0;0,61805217;0,61805217;0,868515961;18,1519604
27-03-1971;17,15;3,83;0,787096774;3,7;0;5;98,14259591;0,980774531;0;0,787096774;0,219834922;2,395584265;0,701404193;0;1,629037259;0,065142813;0,737346937;0,737346937;0,869710002;19,62320684
28-03-1971;16,95;0;0,787096774;2,9;0;3,972190246;98,14259591;0,981425959;0;0,787096774;0,24071298;0;0;0;0;0;0,541936702;0,541936702;0,86797232;17,21590298
29-03-1971;16,1;0;0,787096774;3,3;0;2,993861923;98,14259591;0,981425959;0;0,787096774;0,19123155;0;0;0;0;0;0,403944977;0,403944977;0,86623811;15,50975876
30-03-1971;15,5;0;0,787096774;2,8;0;2,062632864;98,14259591;0,981425959;0;0,787096774;0,144132285;0;0;0;0;0;0,301716648;0,301716648;0,864507365;14,24035109
31-03-1971;15,5;0;0,787096774;2,3;0;1,176235589;98,14259591;0,981425959;0;0,787096774;0,0993005;0;0;0;0;0;0,2220721;0,2220721;0,862780078;13,24674825
01-04-1971;15,85;6,27;1,71;3,2;0;5;97,64218476;0,981425959;0;1,176235589;0;1,27;0,372154113;0,533764411;0,864492635;0,033353252;0,281124771;0,281124771;0,862610774;13,96575232
02-04-1971;16,3;0,77;1,71;5,2;0;3,821789076;97,64218476;0,976421848;0;1,71;0,238210924;0;0;0;0;0;0,264239488;0,264239488;0,860887277;13,73852705
03-04-1971;16,2;0;1,71;5,1;0;1,929710695;97,64218476;0,976421848;0;1,71;0,182078381;0;0;0;0;0;0,231911611;0,231911611;0,859167223;13,32277975
04-04-1971;15,8;3,39;1,71;5,3;0;3,517775062;97,64218476;0,976421848;0;1,71;0,091935633;0;0;0;0;0;0,176835356;0,176835356;0,857450606;12,62930196
05-04-1971;15,6;2,33;1,71;4,3;0;3,970180572;97,64218476;0,976421848;0;1,71;0,167594489;0;0;0;0;0;0,173199358;0,173199358;0,855737418;12,56398494
06-04-1971;15,4;0,11;1,71;3,3;0;2,181032496;97,64218476;0,976421848;0;1,71;0,189148076;0;0;0;0;0;0,17947469;0,17947469;0,854027654;12,61973348
07-04-1971;15,5;3,17;1,71;4,5;0;3,537123343;97,64218476;0,976421848;0;1,71;0,103909153;0;0;0;0;0;0,149741968;0,149741968;0,852321305;12,23584205
08-04-1971;15,5;0;1,71;5,4;0;1,658607059;97,64218476;0,976421848;0;1,71;0,168516284;0;0;0;0;0;0,157129086;0,157129086;0,850618366;12,30524956
09-04-1971;14,8;0;1,71;6,3;0;0;97,59079181;0,976421848;0;1,658607059;0;0;0;0,051392941;0;0;0,095303608;0,095303608;0,84891883;11,52956796
10-04-1971;14,8;0;1,71;5,8;0;0;95,92198927;0,975907918;0;0;0;0;0;1,66880254;0;0;0,05780456;0,05780456;0,847222689;11,0509693
11-04-1971;14,8;0;1,71;5,6;0;0;94,28172326;0,959219893;0;0;0;0;0;1,640266017;0;0;0,035060238;0,035060238;0,845529937;10,75257679
12-04-1971;14,3;0;1,71;8,4;0;0;92,66950579;0,942817233;0;0;0;0;0;1,612217468;0;0;0,021265109;0,021265109;0,843840567;10,56350102
13-04-1971;14,15;0;1,71;8,6;0;0;91,08485724;0,926695058;0;0;0;0;0;1,584648549;0;0;0,012897941;0,012897941;0,842154572;10,44074538
14-04-1971;13,9;0;1,71;7,7;0;0;89,52730618;0,910848572;0;0;0;0;0;1,557551059;0;0;0,007822997;0,007822997;0,840471946;10,35823107
15-04-1971;13,55;0;1,71;7,1;0;0;87,99638925;0,895273062;0;0;0;0;0;1,530916936;0;0;0,004744887;0,004744887;0,838792682;10,30014046
16-04-1971;13,55;0,05;1,71;5,1;0;0,05;86,49165099;0,879963892;0;0;0;0;0;1,504738256;0;0;0,00287792;0,00287792;0,837116773;10,25687964
17-04-1971;13,6;1,55;1,71;5,9;0;1,55;85,01264376;0,86491651;0;0,05;0;0;0;1,479007232;0;0;0,001745546;0,001745546;0,835444213;10,22262958
18-04-1971;13,9;0,84;1,71;6,1;0;0,84;84,85264376;0,850126438;0;1,55;0;0;0;0,16;0;0;0,001058727;0,001058727;0,833774994;10,19386084
19-04-1971;13,15;0;1,71;8,9;0;0;83,98264376;0,848526438;0;0,84;0;0;0;0,87;0;0;0,000642151;0,000642151;0,832109111;10,16843265
20-04-1971;13,4;0;1,71;9,4;0;0;82,54654055;0,839826438;0;0;0;0;0;1,436103208;0;0;0,000389484;0,000389484;0,830446555;10,14504655
21-04-1971;13,2;0;1,71;7,6;0;0;81,13499471;0,825465406;0;0;0;0;0;1,411545843;0;0;0,000236234;0,000236234;0,828787322;10,12291495
22-04-1971;12,9;0;1,71;8,9;0;0;79,7475863;0,811349947;0;0;0;0;0;1,387408409;0;0;0,000143283;0,000143283;0,827131404;10,10156013
23-04-1971;12,8;0;1,71;9,7;0;0;78,38390257;0,797475863;0;0;0;0;0;1,363683726;0;0;8,69056E-05;8,69056E-05;0,825478794;10,08069229
24-04-1971;12,9;0;1,71;5,7;0;0;77,04353784;0,783839026;0;0;0;0;0;1,340364734;0;0;5,27109E-05;5,27109E-05;0,823829487;10,06013563
25-04-1971;12,55;0;1,71;4,3;0;0;75,72609334;0,770435378;0;0;0;0;0;1,317444497;0;0;3,19708E-05;3,19708E-05;0,822183474;10,0397835
26-04-1971;12,4;0,26;1,71;3;0;0,26;74,43117714;0,757260933;0;0;0;0;0;1,294916196;0;0;1,93913E-05;1,93913E-05;0,820540751;10,01957118
27-04-1971;12,3;0,55;1,71;3,5;0;0,55;73,15840402;0,744311771;0;0,26;0;0;0;1,272773129;0;0;1,17614E-05;1,17614E-05;0,818901309;9,999459367
28-04-1971;12,2;0;1,71;5,1;0;0;71,99840402;0,73158404;0;0,55;0;0;0;1,16;0;0;7,13365E-06;7,13365E-06;0,817265143;9,979424213
29-04-1971;13;9,1;1,71;5,6;0;5;72,6156304;0,71998404;0;0;0;4,1;0,799475462;1,231172709;1,452125445;1,848399093;0,314573409;0,314573409;0,81824346;13,83242821
30-04-1971;13,2;0,23;1,71;5,2;0;3,406921848;72,6156304;0,726156304;0;1,71;0,113078152;0;0;0;0;0;0,235291203;0,235291203;0,816608608;12,84437849
01-05-1971;12,6;0;3,316129032;5,6;0;0,013743131;72,6156304;0,726156304;0;3,316129032;0,077049685;0;0;0;0;0;0,173028018;0,173028018;0,814977023;12,06418192
02-05-1971;12,45;0;3,316129032;6,8;0;0;70,2076024;0,726156304;0;0,013743131;0;0;0;2,408028001;0;0;0,104946798;0,104946798;0,813348698;11,2129832
03-05-1971;12,45;0;3,316129032;8,3;0;0;67,87942771;0,702076024;0;0;0;0;0;2,328174686;0;0;0,06365345;0,06365345;0,811723626;10,68892148
04-05-1971;12,15;0;3,316129032;8,5;0;0;65,6284583;0,678794277;0;0;0;0;0;2,250969409;0;0;0,038607769;0,038607769;0,810101802;10,36329395
