date,p,t,epot,q
1979-10-14,1.63,12.1,0.9466666666666668,1.0335241706161138
1979-10-15,1.75,10.7,0.9466666666666668,1.0474464454976304
1979-10-16,23.85,11.2,0.9466666666666668,1.3905895734597158
1979-10-17,1.51,10.3,0.9466666666666668,1.5470104265402846
1979-10-18,4.84,10.1,0.9466666666666668,1.366839810426541
1979-10-19,4.71,9.4,0.9466666666666668,1.3406331753554503
1979-10-20,2.96,10.7,0.9466666666666668,1.3217971563981044
1979-10-21,0.4,9.5,0.9466666666666668,1.2431772511848342
1979-10-22,0.62,5.6,0.9466666666666668,1.171927962085308
1979-10-23,0.0,4.1,0.9466666666666668,1.135074881516588
1979-10-24,0.0,4.9,0.9466666666666668,1.097402843601896
1979-10-25,0.0,6.3,0.9466666666666668,1.0736530805687203
1979-10-26,0.0,6.2,0.9466666666666668,1.0433516587677727
1979-10-27,0.0,5.4,0.9466666666666668,1.0261535545023697
1979-10-28,0.0,5.2,0.9466666666666668,1.0024037914691943
1979-10-29,0.0,4.4,0.9466666666666668,0.9852056872037916
1979-10-30,0.0,3.5,0.9466666666666668,0.9983090047393366
1979-10-31,3.01,4.3,0.9466666666666668,1.006498578199052
1979-11-01,11.11,5.3,0.4666666666666667,1.0834805687203792
1979-11-02,2.01,5.6,0.4666666666666667,1.1424454976303318
1979-11-03,0.75,5.9,0.4666666666666667,1.13098009478673
1979-11-04,6.96,6.5,0.4666666666666667,1.171927962085308
1979-11-05,7.18,7.4,0.4666666666666667,1.4397270142180094
1979-11-06,8.9,5.3,0.4666666666666667,1.6084322274881515
1979-11-07,6.93,5.6,0.4666666666666667,1.6772246445497632
1979-11-08,2.07,5.8,0.4666666666666667,1.6125270142180097
1979-11-09,1.84,4.2,0.4666666666666667,1.448735545023697
1979-11-10,0.91,3.6,0.4666666666666667,1.367658767772512
1979-11-11,5.94,4.3,0.4666666666666667,1.3013232227488154
1979-11-12,8.59,5.0,0.4666666666666667,1.5248985781990525
1979-11-13,5.81,4.4,0.4666666666666667,1.854119431279621
1979-11-14,5.32,2.8,0.4666666666666667,1.7271810426540286
1979-11-15,1.91,3.0,0.4666666666666667,1.632181990521327
1979-11-16,3.35,3.6,0.4666666666666667,1.5470104265402846
1979-11-17,13.98,4.4,0.4666666666666667,1.7394654028436018
1979-11-18,0.67,3.9,0.4666666666666667,1.7124398104265404
1979-11-19,0.0,3.7,0.4666666666666667,1.5658464454976306
