precipitation_max,precipitation_min,precipitation_sum,discharge_max,discharge_min,discharge_mean,temperature_max,temperature_min,temperature_mean,potential_evapotranspiration_max,potential_evapotranspiration_min,potential_evapotranspiration_sum,date
43.85,0.0,1092.0,31.05,8.03,14.113780821917807,21.2,-3.8,8.14054794520548,118.2,7.5,607.5,1977-01-01
31.99,0.0,1106.5,41.217,9.549,16.006079452054795,22.7,-9.3,7.915616438356164,120.7,9.5,609.8,1978-01-01
44.86,0.0,1266.93,50.52,9.311,16.527306849315067,19.6,-11.0,6.894246575342466,118.8,7.5,593.1999999999999,1979-01-01
37.0,0.0,1274.28,59.779,8.341,19.516245901639344,20.8,-7.2,7.73087431693989,127.0,7.5,630.5,1980-01-01
58.27,0.0,1235.59,65.596,12.66,21.302753424657535,19.9,-9.8,7.656712328767123,117.2,8.3,621.9,1981-01-01
42.4,0.0,1035.72,57.533,7.85,16.971457534246575,23.6,-13.2,8.44054794520548,113.4,7.5,626.1,1982-01-01
31.47,0.0,1053.49,43.0,9.3,19.035323287671233,22.3,-4.2,8.795342465753425,115.8,9.5,632.2,1983-01-01
34.33,0.0,983.26,58.825,7.6,16.65472131147541,20.9,-2.8,8.356830601092897,100.7,9.5,603.9,1984-01-01
31.93,0.0,1084.92,49.471,7.822,15.35051506849315,20.8,-11.7,7.032876712328767,109.4,7.5,605.2,1985-01-01
25.07,0.0,952.91,57.425,8.029,15.439610958904108,19.1,-8.3,7.532054794520548,115.1,7.5,600.4,1986-01-01
29.28,0.0,983.27,34.871,9.088,15.35127397260274,19.5,-14.0,7.125205479452054,103.5,7.5,558.3,1987-01-01
29.66,0.0,1135.56,47.29,9.396,19.527775956284152,20.1,-1.4,9.023770491803278,126.3,9.5,650.8,1988-01-01
36.04,0.0,819.29,35.932,7.917,13.844876712328768,21.6,-1.9,9.652876712328768,111.1,9.5,638.5,1989-01-01
43.39,0.0,1067.74,48.092,7.305,15.812367123287672,23.3,-0.2,9.755342465753424,106.9,9.5,650.3,1990-01-01
19.23,0.0,822.48,43.095,7.088,13.94076712328767,23.0,-5.4,8.703013698630137,123.0,9.5,605.2,1991-01-01
33.17,0.0,1023.24,30.478,6.708,14.813254098360655,22.5,-2.7,9.409562841530056,150.8,9.5,692.8,1992-01-01
25.85,0.0,969.41,39.197,6.768,14.085723287671232,19.7,-5.0,8.025205479452055,120.6,9.5,635.3,1993-01-01
52.94,0.0,1209.06,52.23,7.963,19.133550684931507,25.1,-3.5,9.161643835616438,136.6,9.5,640.3,1994-01-01
48.18,0.0,911.06,64.551,8.704,18.206060273972604,22.3,-7.0,8.747123287671233,119.3,9.5,636.2,1995-01-01
27.21,0.0,601.84,25.3263,5.7966,10.553571038251366,24.0,-6.7,7.350819672131148,113.1,7.5,598.2,1996-01-01
26.03,0.0,770.34,26.3034,6.7191,11.181545479452055,24.3,-5.9,8.994246575342466,129.1,7.5,668.4,1997-01-01
31.79,0.0,1108.02,48.127,8.51,16.582714246575343,21.2,-3.9,8.783835616438356,115.1,9.5,646.0,1998-01-01
39.1,0.0,1212.07,72.781,9.3797,20.105570410958904,22.2,-5.1,9.464931506849315,116.0,9.5,640.4,1999-01-01
23.97,0.0,1023.71,44.9191,10.2864,19.581528415300546,22.3,-3.0,9.817486338797814,114.5,9.5,637.6,2000-01-01
24.22,0.0,932.57,42.6427,8.9006,16.222486301369866,23.6,-6.0,8.89123287671233,124.9,9.5,628.3,2001-01-01
38.82,0.0,1080.56,50.9284,10.6387,18.607230958904108,23.6,-5.5,9.687123287671234,130.3,9.5,715.5,2002-01-01
21.44,0.0,844.5,23.8368,8.0491,12.47723095890411,22.8,-5.9,9.178356164383562,136.9,8.5,687.3,2003-01-01
27.57,0.0,1131.41,43.7335,7.2577,15.822645081967213,23.5,-3.2,9.115573770491803,110.1,7.5,633.9,2004-01-01
36.18,0.0,893.34,34.8679,8.3465,14.64529589041096,21.5,-4.8,9.245205479452055,116.9,9.5,623.7,2005-01-01
22.61,0.0,1149.93,44.3008,7.0443,15.63842712328767,23.3,-4.4,9.876712328767123,137.0,7.5,640.4,2006-01-01
31.19,0.0,1044.81,50.3908,11.4397,19.688770277777778,22.2,-2.1,9.967945205479452,136.4,9.5,675.6,2007-01-01
